day_ID,salinity,salt,competition,pair,strain1,strain2,mean_CFU_1,mean_CFU_2,mean_ratio_fast
D0,31,31,95-5,40-39,40,39,210000000,4444444.444444445,0.9803921568627451
D0,31,31,95-5,40-8,40,8,190000000,10000000,0.04937839937839938
D0,31,31,95-5,40-II.F2,40,II.F2,173333333.33333334,20000000,0.89812426126728
D0,31,31,95-5,6-25,6,25,231111111.1111111,6666666.666666667,0.971830985915493
D0,46,46,100,2,2,2,135555555.55555555,0,1
D0,46,46,100,25,25,25,574444444.4444444,0,1
D0,46,46,100,32,32,32,103333333.33333333,0,1
D0,46,46,100,39,39,39,111111111.11111112,0,1
D0,46,46,100,40,40,40,130000000,0,1
D0,46,46,100,8,8,8,72222222.22222222,0,1
D0,46,46,100,II.F2,II.F2,II.F2,102222222.22222222,0,1
D0,46,46,5-95,2-25,2,25,62222222.222222224,463333333.3333333,0.13652004358547914
D0,46,46,5-95,2-32,2,32,14444444.444444444,201111111.1111111,0.9337339310586283
D0,46,46,5-95,2-II.F2,2,II.F2,16666666.666666666,185555555.55555555,0.0836940836940837
D0,46,46,5-95,40-2,40,2,3333333.333333333,238888888.8888889,0.9859154929577465
D0,46,46,5-95,40-39,40,39,15555555.555555556,128888888.88888888,0.11573535870211062
D0,46,46,5-95,40-8,40,8,5555555.555555556,103333333.33333333,0.9458333333333333
D0,46,46,5-95,40-II.F2,40,II.F2,3333333.3333333335,226666666.66666666,0.013007252892165679
D0,46,46,5-95,6-25,6,25,3333333.3333333335,533333333.3333333,0.006387403446226976
D0,46,46,50-50,2-25,2,25,107777777.77777778,28888888.888888888,0.7772279172067083
D0,46,46,50-50,2-32,2,32,66666666.666666664,56666666.66666667,0.4565548780487805
D0,46,46,50-50,2-II.F2,2,II.F2,95555555.55555555,37777777.777777776,0.7200182398540811
D0,46,46,50-50,40-2,40,2,25555555.555555556,61111111.11111111,0.7100296005843232
D0,46,46,50-50,40-39,40,39,56666666.666666664,35555555.55555555,0.6314363143631436
D0,46,46,50-50,40-8,40,8,34444444.44444445,36666666.666666664,0.5145962732919255
D0,46,46,50-50,40-II.F2,40,II.F2,73333333.33333333,54444444.44444444,0.5594362745098039
D0,46,46,50-50,6-25,6,25,35555555.55555555,105555555.55555555,0.23982008574038935
D0,46,46,95-5,2-25,2,25,267777777.77777776,1111111.111111111,0.9958847736625515
D0,46,46,95-5,2-32,2,32,270000000,11111111.11111111,0.039377289377289376
D0,46,46,95-5,2-II.F2,2,II.F2,238888888.8888889,4444444.444444445,0.9817488262910798
D0,46,46,95-5,40-2,40,2,204444444.44444445,18888888.888888888,0.07757046938333488
D0,46,46,95-5,40-39,40,39,210000000,4444444.444444445,0.9803921568627451
D0,46,46,95-5,40-8,40,8,190000000,10000000,0.04937839937839938
D0,46,46,95-5,40-II.F2,40,II.F2,173333333.33333334,20000000,0.89812426126728
D0,46,46,95-5,6-25,6,25,231111111.1111111,6666666.666666667,0.971830985915493
D0,61,61,100,2,2,2,135555555.55555555,0,1
D0,61,61,100,25,25,25,574444444.4444444,0,1
D0,61,61,100,32,32,32,103333333.33333333,0,1
D0,61,61,100,39,39,39,111111111.11111112,0,1
D0,61,61,100,40,40,40,130000000,0,1
D0,61,61,100,8,8,8,72222222.22222222,0,1
D0,61,61,100,II.F2,II.F2,II.F2,102222222.22222222,0,1
D0,61,61,5-95,2-25,2,25,62222222.222222224,463333333.3333333,0.13652004358547914
D0,61,61,5-95,2-32,2,32,14444444.444444444,201111111.1111111,0.9337339310586283
D0,61,61,5-95,2-II.F2,2,II.F2,16666666.666666666,185555555.55555555,0.0836940836940837
D0,61,61,5-95,40-2,40,2,3333333.333333333,238888888.8888889,0.9859154929577465
D0,61,61,5-95,40-39,40,39,15555555.555555556,128888888.88888888,0.11573535870211062
D0,61,61,5-95,40-8,40,8,5555555.555555556,103333333.33333333,0.9458333333333333
D0,61,61,5-95,40-II.F2,40,II.F2,3333333.3333333335,226666666.66666666,0.013007252892165679
D0,61,61,5-95,6-25,6,25,3333333.3333333335,533333333.3333333,0.006387403446226976
D0,61,61,50-50,2-25,2,25,107777777.77777778,28888888.888888888,0.7772279172067083
D0,61,61,50-50,2-32,2,32,66666666.666666664,56666666.66666667,0.4565548780487805
D0,61,61,50-50,2-II.F2,2,II.F2,95555555.55555555,37777777.777777776,0.7200182398540811
D0,61,61,50-50,40-2,40,2,25555555.555555556,61111111.11111111,0.7100296005843232
D0,61,61,50-50,40-39,40,39,56666666.666666664,35555555.55555555,0.6314363143631436
D0,61,61,50-50,40-8,40,8,34444444.44444445,36666666.666666664,0.5145962732919255
D0,61,61,50-50,40-II.F2,40,II.F2,73333333.33333333,54444444.44444444,0.5594362745098039
D0,61,61,50-50,6-25,6,25,35555555.55555555,105555555.55555555,0.23982008574038935
D0,61,61,95-5,2-25,2,25,267777777.77777776,1111111.111111111,0.9958847736625515
D0,61,61,95-5,2-32,2,32,270000000,11111111.11111111,0.039377289377289376
D0,61,61,95-5,2-II.F2,2,II.F2,238888888.8888889,4444444.444444445,0.9817488262910798
D0,61,61,95-5,40-2,40,2,204444444.44444445,18888888.888888888,0.07757046938333488
D0,61,61,95-5,40-39,40,39,210000000,4444444.444444445,0.9803921568627451
D0,61,61,95-5,40-8,40,8,190000000,10000000,0.04937839937839938
D0,61,61,95-5,40-II.F2,40,II.F2,173333333.33333334,20000000,0.89812426126728
D0,61,61,95-5,6-25,6,25,231111111.1111111,6666666.666666667,0.971830985915493
D1,16,16,100,2,2,2,2600000000,0,1
D1,16,16,100,25,25,25,8733333333.333334,0,1
D1,16,16,100,32,32,32,2300000000,0,1
D1,16,16,100,39,39,39,3966666666.6666665,0,1
D1,16,16,100,40,40,40,5600000000,0,1
D1,16,16,100,8,8,8,1100000000,0,1
D1,16,16,100,II.F2,II.F2,II.F2,2833333333.3333335,0,1
D1,16,16,5-95,2-25,2,25,8000000000,9000000000,0.4123993558776167
D1,16,16,5-95,2-32,2,32,0,5633333333.333333,1
D1,16,16,5-95,2-II.F2,2,II.F2,866666666.6666666,2600000000,0.26021533161068044
D1,16,16,5-95,40-2,40,2,3733333333.3333335,0,0
